address,new_house_no,new_street_no,village_phum,commune_khum,district_srok,new_province
"#27, St.8, Prakar, Prey Sa, Dangkao, Phnom Penh Capital",#27,St.8,Prakar,Prey Sa,Dangkao,Phnom Penh Capital
"#B26, St.The Sok San Town 1, Prakar, Prey Sa, Dangkao, Phnom Penh Capital",#B26,St.The Sok San Town 1,Prakar,Prey Sa,Dangkao,Phnom Penh Capital
"#51A, St.05, Prakar, Prey Sa, Dangkao, Phnom Penh Capital",#51A,St.05,Prakar,Prey Sa,Dangkao,Phnom Penh Capital
"#CKD92, St.10, Prakar, Prey Sa, Dangkao, Phnom Penh Capital",#CKD92,St.10,Prakar,Prey Sa,Dangkao,Phnom Penh Capital
"#M39, St.Betong, Prey Thum, Prey Sa, Dangkao, Phnom Penh Capital",#M39,St.Betong,Prey Thum,Prey Sa,Dangkao,Phnom Penh Capital
"#11, St.NA, Prey Sa, Dangkao, Phnom Penh Capital",#11,St.NA,,Prey Sa,Dangkao,Phnom Penh Capital
"Prakar, Prey Sa, Dangkao, Phnom Penh Capital",,,Prakar,Prey Sa,Dangkao,Phnom Penh Capital
"Prey Sa Khang Lech, Prey Sa, Dangkao, Phnom Penh Capital",,,Prey Sa Khang Lech,Prey Sa,Dangkao,Phnom Penh Capital
"St.National Road N6, Kdei, Prey Ta Hu, Stueng Saen, Kampong Thom Province",,St.National Road N6,Kdei,Prey Ta Hu,Stueng Saen,Kampong Thom Province
"#, St., Prey Thnang, Tuek Chhou, Kampot Province",#,St.,,Prey Thnang,Tuek Chhou,Kampot Province
"Prey Thum, Kaeb, Kep Province",,,,Prey Thum,Kaeb,Kep Province
"Kamrieng, Prey Veaeng, Dangkao, Phnom Penh Capital",,,Kamrieng,Prey Veaeng,Dangkao,Phnom Penh Capital
"Prey Veaeng Khang Kaeut, Prey Veaeng, Dangkao, Phnom Penh Capital",,,Prey Veaeng Khang Kaeut,Prey Veaeng,Dangkao,Phnom Penh Capital
"Prey Veaeng, Dangkao, Phnom Penh Capital",,,,Prey Veaeng,Dangkao,Phnom Penh Capital
"Puk Ruessei Kandal, Puk Ruessei, Khsach Kandal, Kandal Province",,,Puk Ruessei Kandal,Puk Ruessei,Khsach Kandal,Kandal Province
"Kouk Doung, Puok, Puok, Siemreap Province",,,Kouk Doung,Puok,Puok,Siemreap Province
"Puok Chas, Puok, Puok, Siemreap Province",,,Puok Chas,Puok,Puok,Siemreap Province
"Puok Thmei, Puok, Puok, Siemreap Province",,,Puok Thmei,Puok,Puok,Siemreap Province
"Puok, Puok, Siemreap Province",,,,Puok,Puok,Siemreap Province
"St.Ream Blvd, Ong, Ream, Prey Nob, Preah Sihanouk Province",,St.Ream Blvd,Ong,Ream,Prey Nob,Preah Sihanouk Province
"Ream, Prey Nob, Preah Sihanouk Province",,,,Ream,Prey Nob,Preah Sihanouk Province
"St.Plav Phum, Reathor, Preah Sdach, Prey Veng Province",,St.Plav Phum,,Reathor,Preah Sdach,Prey Veng Province
"Tuol Bei, Reay Pay, Kang Meas, Kampong Cham Province",,,Tuol Bei,Reay Pay,Kang Meas,Kampong Cham Province
"Reay Pay, Kang Meas, Kampong Cham Province",,,,Reay Pay,Kang Meas,Kampong Cham Province
"Tnaot Mlu, Robieb, Rovieng, Preah Vihear Province",,,Tnaot Mlu,Robieb,Rovieng,Preah Vihear Province
"Rohal, Rohal, Preah Netr Preah, Banteay Meanchey Province",,,Rohal,Rohal,Preah Netr Preah,Banteay Meanchey Province
"St., Thnal Baek, Roka Krau, Doun Kaev, Takeo Province",,St.,Thnal Baek,Roka Krau,Doun Kaev,Takeo Province
"#, St., Prey Aomal, Roleab, Pursat, Pursat Province",#,St.,Prey Aomal,Roleab,Pursat,Pursat Province
"St., Trapeang Sab, Roleang Kreul, Samraong Tong, Kampong Speu Province",,St.,Trapeang Sab,Roleang Kreul,Samraong Tong,Kampong Speu Province
"St.Betong, Trapeang Sab, Roleang Kreul, Samraong Tong, Kampong Speu Province",,St.Betong,Trapeang Sab,Roleang Kreul,Samraong Tong,Kampong Speu Province
"Trapeang Sab, Roleang Kreul, Samraong Tong, Kampong Speu Province",,,Trapeang Sab,Roleang Kreul,Samraong Tong,Kampong Speu Province
"Roleang Kreul, Samraong Tong, Kampong Speu Province",,,,Roleang Kreul,Samraong Tong,Kampong Speu Province
"#297, St.07, Kandal, Roluos, Dangkao, Phnom Penh Capital",#297,St.07,Kandal,Roluos,Dangkao,Phnom Penh Capital
"#, St.St.Ring Road 3, Roluos, Dangkao, Phnom Penh Capital",#,St.St.Ring Road 3,,Roluos,Dangkao,Phnom Penh Capital
"Kandal, Roluos, Dangkao, Phnom Penh Capital",,,Kandal,Roluos,Dangkao,Phnom Penh Capital
"Slaeng, Roluos, Svay Chek, Banteay Meanchey Province",,,Slaeng,Roluos,Svay Chek,Banteay Meanchey Province
"Roluos, Svay Chek, Banteay Meanchey Province",,,,Roluos,Svay Chek,Banteay Meanchey Province
"Pu Tang, Romonea, Saen Monourom, Mondul Kiri Province",,,Pu Tang,Romonea,Saen Monourom,Mondul Kiri Province
"Rumchek 4, Rottanak, Battambang, Battambang Province",,,Rumchek 4,Rottanak,Battambang,Battambang Province
"Neang Ket, Ruessei Kraok, Mongkol Borei, Banteay Meanchey Province",,,Neang Ket,Ruessei Kraok,Mongkol Borei,Banteay Meanchey Province
"Rumchek, Rumchek, Banteay Srei, Siemreap Province",,,Rumchek,Rumchek,Banteay Srei,Siemreap Province
"Run Ta Aek, Banteay Srei, Siemreap Province",,,,Run Ta Aek,Banteay Srei,Siemreap Province
"Rovieng Tboung, Rung Roeang, Rovieng, Preah Vihear Province",,,Rovieng Tboung,Rung Roeang,Rovieng,Preah Vihear Province
"S'ang, S'ang, Chey Saen, Preah Vihear Province",,,S'ang,S'ang,Chey Saen,Preah Vihear Province
"Khnay Kakaoh Thmei, Saeb, Kampong Tralach, Kampong Chhnang Province",,,Khnay Kakaoh Thmei,Saeb,Kampong Tralach,Kampong Chhnang Province
"Pu Rang, Saen Monourom, Ou Reang, Mondul Kiri Province",,,Pu Rang,Saen Monourom,Ou Reang,Mondul Kiri Province
"Pu Tru, Saen Monourom, Ou Reang, Mondul Kiri Province",,,Pu Tru,Saen Monourom,Ou Reang,Mondul Kiri Province
"#, St., Chreav, Sala Kamreuk, Siem Reap, Siemreap Province",#,St.,Chreav,Sala Kamreuk,Siem Reap,Siemreap Province
"#, St., Chunlong, Sala Kamreuk, Siem Reap, Siemreap Province",#,St.,Chunlong,Sala Kamreuk,Siem Reap,Siemreap Province
"#, St., Sala Kamreuk, Sala Kamreuk, Siem Reap, Siemreap Province",#,St.,Sala Kamreuk,Sala Kamreuk,Siem Reap,Siemreap Province
"#, St., Wat Svay, Sala Kamreuk, Siem Reap, Siemreap Province",#,St.,Wat Svay,Sala Kamreuk,Siem Reap,Siemreap Province
"Chreav, Sala Kamreuk, Siem Reap, Siemreap Province",,,Chreav,Sala Kamreuk,Siem Reap,Siemreap Province
"Chunlong, Sala Kamreuk, Siem Reap, Siemreap Province",,,Chunlong,Sala Kamreuk,Siem Reap,Siemreap Province
"Svay Dangkum, Sala Kamreuk, Siem Reap, Siemreap Province",,,Svay Dangkum,Sala Kamreuk,Siem Reap,Siemreap Province
"Wat Svay, Sala Kamreuk, Siem Reap, Siemreap Province",,,Wat Svay,Sala Kamreuk,Siem Reap,Siemreap Province
"Sala Kamreuk, Siem Reap, Siemreap Province",,,,Sala Kamreuk,Siem Reap,Siemreap Province
"#, St.64, Sam Ang, Sam Ang, Thala Barivat, Stung Treng Province",#,St.64,Sam Ang,Sam Ang,Thala Barivat,Stung Treng Province
"Kakot, Sambok, Chetr Borei, Kratie Province",,,Kakot,Sambok,Chetr Borei,Kratie Province
"Trapeang Ruessei, Sambour, Samraong Tong, Kampong Speu Province",,,Trapeang Ruessei,Sambour,Samraong Tong,Kampong Speu Province
"Samkhuoy, Samkhuoy, Sesan, Stung Treng Province",,,Samkhuoy,Samkhuoy,Sesan,Stung Treng Province
"Preaek Saem, Sampeou Poun, Kaoh Thum, Kandal Province",,,Preaek Saem,Sampeou Poun,Kaoh Thum,Kandal Province
"Sampong Chey, Cheung Prey, Kampong Cham Province",,,,Sampong Chey,Cheung Prey,Kampong Cham Province
"#, St.N/A, Borei Rothbal, Samraong, Samraong, Oddar Meanchey Province",#,St.N/A,Borei Rothbal,Samraong,Samraong,Oddar Meanchey Province
"#N/A, St.N/A, Borei Rothbal, Samraong, Samraong, Oddar Meanchey Province",#N/A,St.N/A,Borei Rothbal,Samraong,Samraong,Oddar Meanchey Province
"Kouk Kor, Samraong, Samraong, Oddar Meanchey Province",,,Kouk Kor,Samraong,Samraong,Oddar Meanchey Province
"Pul, Samraong, Samraong, Oddar Meanchey Province",,,Pul,Samraong,Samraong,Oddar Meanchey Province
"#173, St.32, Tekapanhao, Samraong Kraom, Pur SenChey, Phnom Penh Capital",#173,St.32,Tekapanhao,Samraong Kraom,Pur SenChey,Phnom Penh Capital
"#H47, Andoung Ta An, Samraong Kraom, Pur SenChey, Phnom Penh Capital",#H47,,Andoung Ta An,Samraong Kraom,Pur SenChey,Phnom Penh Capital
"Chamkar Sbaeng, Samraong Kraom, Pur SenChey, Phnom Penh Capital",,,Chamkar Sbaeng,Samraong Kraom,Pur SenChey,Phnom Penh Capital
"Kouk Prich, Samraong Kraom, Pur SenChey, Phnom Penh Capital",,,Kouk Prich,Samraong Kraom,Pur SenChey,Phnom Penh Capital
"Prey Popel, Samraong Kraom, Pur SenChey, Phnom Penh Capital",,,Prey Popel,Samraong Kraom,Pur SenChey,Phnom Penh Capital
"Tekapanhao, Samraong Kraom, Pur SenChey, Phnom Penh Capital",,,Tekapanhao,Samraong Kraom,Pur SenChey,Phnom Penh Capital
"Trapeang Thnong, Samraong Kraom, Pur SenChey, Phnom Penh Capital",,,Trapeang Thnong,Samraong Kraom,Pur SenChey,Phnom Penh Capital
"Samraong Kraom, Pur SenChey, Phnom Penh Capital",,,,Samraong Kraom,Pur SenChey,Phnom Penh Capital
"Chamkar Doung, Samraong Leu, Angk Snuol, Kandal Province",,,Chamkar Doung,Samraong Leu,Angk Snuol,Kandal Province
"Kaoh Krob Bay, Samraong Leu, Angk Snuol, Kandal Province",,,Kaoh Krob Bay,Samraong Leu,Angk Snuol,Kandal Province
"Kakpal, Sandaek, Batheay, Kampong Cham Province",,,Kakpal,Sandaek,Batheay,Kampong Cham Province
"St.06, Chak, Sangvaeuy, Chi Kraeng, Siemreap Province",,St.06,Chak,Sangvaeuy,Chi Kraeng,Siemreap Province
"St.06, Sangvaeuy, Chi Kraeng, Siemreap Province",,St.06,,Sangvaeuy,Chi Kraeng,Siemreap Province
"Sangvaeuy, Chi Kraeng, Siemreap Province",,,,Sangvaeuy,Chi Kraeng,Siemreap Province
"Trapeang Prolit, Santepheap, Sampov Lun, Battambang Province",,,Trapeang Prolit,Santepheap,Sampov Lun,Battambang Province
"Ta Chou, Sarikakaev, Lvea Aem, Kandal Province",,,Ta Chou,Sarikakaev,Lvea Aem,Kandal Province
"Satv Pong, Satv Pong, Chhuk, Kampot Province",,,Satv Pong,Satv Pong,Chhuk,Kampot Province
"Satv Pong, Chhuk, Kampot Province",,,,Satv Pong,Chhuk,Kampot Province
"Lvea Kraom, Sdau, Kang Meas, Kampong Cham Province",,,Lvea Kraom,Sdau,Kang Meas,Kampong Cham Province
"Kaeng Sann, Seda, Lumphat, Ratanak Kiri Province",,,Kaeng Sann,Seda,Lumphat,Ratanak Kiri Province
"Chamkar Svay, Sedthei, Sameakki Mean Chey, Kampong Chhnang Province",,,Chamkar Svay,Sedthei,Sameakki Mean Chey,Kampong Chhnang Province
"Krang Siem, Sedthei, Sameakki Mean Chey, Kampong Chhnang Province",,,Krang Siem,Sedthei,Sameakki Mean Chey,Kampong Chhnang Province
"#, St., Boeng, Siem Reab, Siem Reap, Siemreap Province",#,St.,Boeng,Siem Reab,Siem Reap,Siemreap Province
"#, St., Kakranh, Siem Reab, Siem Reap, Siemreap Province",#,St.,Kakranh,Siem Reab,Siem Reap,Siemreap Province
"#, St., Krasang Roleung, Siem Reab, Siem Reap, Siemreap Province",#,St.,Krasang Roleung,Siem Reab,Siem Reap,Siemreap Province
"#NA, St.Lum, Rean Thma, Siem Reab, Kandal Stueng, Kandal Province",#NA,St.Lum,Rean Thma,Siem Reab,Kandal Stueng,Kandal Province
"Phnom Krom, Siem Reab, Siem Reap, Siemreap Province",,,Phnom Krom,Siem Reab,Siem Reap,Siemreap Province
"#04, St.Concrete Road, Dam Spey, Sla Ket, Battambang, Battambang Province",#04,St.Concrete Road,Dam Spey,Sla Ket,Battambang,Battambang Province
"St.516, Chrey Kaong, Sla Ket, Battambang, Battambang Province",,St.516,Chrey Kaong,Sla Ket,Battambang,Battambang Province
"#, St., Anhchanh, Sla Kram, Siem Reap, Siemreap Province",#,St.,Anhchanh,Sla Kram,Siem Reap,Siemreap Province
"#, St., Sla Kram, Sla Kram, Siem Reap, Siemreap Province",#,St.,Sla Kram,Sla Kram,Siem Reap,Siemreap Province
"Boeng Donpa, Sla Kram, Siem Reap, Siemreap Province",,,Boeng Donpa,Sla Kram,Siem Reap,Siemreap Province
"Chongkaosou, Sla Kram, Siem Reap, Siemreap Province",,,Chongkaosou,Sla Kram,Siem Reap,Siemreap Province
"Sla Kram, Sla Kram, Siem Reap, Siemreap Province",,,Sla Kram,Sla Kram,Siem Reap,Siemreap Province
"Sla Kram, Siem Reap, Siemreap Province",,,,Sla Kram,Siem Reap,Siemreap Province
"St.8, Thnal Kaeng, Smaong Khang Cheung, Kamchay Mear, Prey Veng Province",,St.8,Thnal Kaeng,Smaong Khang Cheung,Kamchay Mear,Prey Veng Province
"Veal Vong, Sna Ansa, Krakor, Pursat Province",,,Veal Vong,Sna Ansa,Krakor,Pursat Province
"Tuol Lieb, Snaor, Kamboul, Phnom Penh Capital",,,Tuol Lieb,Snaor,Kamboul,Phnom Penh Capital
"Snaor, Kamboul, Phnom Penh Capital",,,,Snaor,Kamboul,Phnom Penh Capital
"Ta Kong, Sngkat Sambuor, Siem Reap, Siemreap Province",,,Ta Kong,Sngkat Sambuor,Siem Reap,Siemreap Province
"Veal, Sngkat Sambuor, Siem Reap, Siemreap Province",,,Veal,Sngkat Sambuor,Siem Reap,Siemreap Province
"Sngkat Sambuor, Siem Reap, Siemreap Province",,,,Sngkat Sambuor,Siem Reap,Siemreap Province
"##76, Kbal Snuol, Snuol, Snuol, Kratie Province",##76,,Kbal Snuol,Snuol,Snuol,Kratie Province
"Kbal Snuol, Snuol, Snuol, Kratie Province",,,Kbal Snuol,Snuol,Snuol,Kratie Province
"Rumchek, Sochet, Sandan, Kampong Thom Province",,,Rumchek,Sochet,Sandan,Kampong Thom Province
"Daoh Kramom, Sokh Dom, Saen Monourom, Mondul Kiri Province",,,Daoh Kramom,Sokh Dom,Saen Monourom,Mondul Kiri Province
"Lauka, Sokh Dom, Saen Monourom, Mondul Kiri Province",,,Lauka,Sokh Dom,Saen Monourom,Mondul Kiri Province
"Sokh Dom, Saen Monourom, Mondul Kiri Province",,,,Sokh Dom,Saen Monourom,Mondul Kiri Province
"#Na, St.Lum, Ou Spean, Spean Mean Chey, Saen Monourom, Mondul Kiri Province",#Na,St.Lum,Ou Spean,Spean Mean Chey,Saen Monourom,Mondul Kiri Province
"Chamkar Tae, Spean Mean Chey, Saen Monourom, Mondul Kiri Province",,,Chamkar Tae,Spean Mean Chey,Saen Monourom,Mondul Kiri Province
"Spean Thma, Dangkao, Phnom Penh Capital",,,,Spean Thma,Dangkao,Phnom Penh Capital
"Ou Kraom, Spean Tnaot, Chi Kraeng, Siemreap Province",,,Ou Kraom,Spean Tnaot,Chi Kraeng,Siemreap Province
"Srae Chaeng, Chum Kiri, Kampot Province",,,,Srae Chaeng,Chum Kiri,Kampot Province
"Srae Chea Khang Cheung, Dang Tong, Kampot Province",,,,Srae Chea Khang Cheung,Dang Tong,Kampot Province
"Voat, Srae Nouy, Varin, Siemreap Province",,,Voat,Srae Nouy,Varin,Siemreap Province
"Srae Nouy, Varin, Siemreap Province",,,,Srae Nouy,Varin,Siemreap Province
"Chamkar Ta Mau, Srae Thmei, Rolea B'ier, Kampong Chhnang Province",,,Chamkar Ta Mau,Srae Thmei,Rolea B'ier,Kampong Chhnang Province
"Santuch, Srae Thmei, Rolea B'ier, Kampong Chhnang Province",,,Santuch,Srae Thmei,Rolea B'ier,Kampong Chhnang Province
"Traok Lech, Srae Thmei, Rolea B'ier, Kampong Chhnang Province",,,Traok Lech,Srae Thmei,Rolea B'ier,Kampong Chhnang Province
"Trapeang Sbov, Srae Thmei, Rolea B'ier, Kampong Chhnang Province",,,Trapeang Sbov,Srae Thmei,Rolea B'ier,Kampong Chhnang Province
"Srae Thmei, Rolea B'ier, Kampong Chhnang Province",,,,Srae Thmei,Rolea B'ier,Kampong Chhnang Province
"#16, St.7A, Srah Chak, Doun Penh, Phnom Penh Capital",#16,St.7A,,Srah Chak,Doun Penh,Phnom Penh Capital
"Phum 1, Srah Chak, Doun Penh, Phnom Penh Capital",,,Phum 1,Srah Chak,Doun Penh,Phnom Penh Capital
"Phum 10, Srah Chak, Doun Penh, Phnom Penh Capital",,,Phum 10,Srah Chak,Doun Penh,Phnom Penh Capital
"Srah Chak, Doun Penh, Phnom Penh Capital",,,,Srah Chak,Doun Penh,Phnom Penh Capital
"St.64, Thma Leaph, Srah Ruessei, Stueng Traeng, Stung Treng Province",,St.64,Thma Leaph,Srah Ruessei,Stueng Traeng,Stung Treng Province
"#, St., Srah Ruessei, Stueng Traeng, Stung Treng Province",#,St.,,Srah Ruessei,Stueng Traeng,Stung Treng Province
"Srongae, Srangae, Siem Reap, Siemreap Province",,,Srongae,Srangae,Siem Reap,Siemreap Province
"Srayang Cheung, Srayang, Kuleaen, Preah Vihear Province",,,Srayang Cheung,Srayang,Kuleaen,Preah Vihear Province
"Srayang Tboung, Srayang, Kuleaen, Preah Vihear Province",,,Srayang Tboung,Srayang,Kuleaen,Preah Vihear Province
"Roluos, Srayov, Stueng Saen, Kampong Thom Province",,,Roluos,Srayov,Stueng Saen,Kampong Thom Province
"Phsar Prum, Stueng Kach, Sala Krau, Pailin Province",,,Phsar Prum,Stueng Kach,Sala Krau,Pailin Province
"Trea, Stueng Mean chey 1, Mean Chey, Phnom Penh Capital",,,Trea,Stueng Mean chey 1,Mean Chey,Phnom Penh Capital
"Trea Pir, Stueng Mean chey 1, Mean Chey, Phnom Penh Capital",,,Trea Pir,Stueng Mean chey 1,Mean Chey,Phnom Penh Capital
"Stueng Mean chey 1, Mean Chey, Phnom Penh Capital",,,,Stueng Mean chey 1,Mean Chey,Phnom Penh Capital
"#, St., Stueng Mean chey 2, Mean Chey, Phnom Penh Capital",#,St.,,Stueng Mean chey 2,Mean Chey,Phnom Penh Capital
"Ruessei, Stueng Mean chey 2, Mean Chey, Phnom Penh Capital",,,Ruessei,Stueng Mean chey 2,Mean Chey,Phnom Penh Capital
"Ruessei 3, Stueng Mean chey 2, Mean Chey, Phnom Penh Capital",,,Ruessei 3,Stueng Mean chey 2,Mean Chey,Phnom Penh Capital
"Stueng Mean chey 2, Mean Chey, Phnom Penh Capital",,,,Stueng Mean chey 2,Mean Chey,Phnom Penh Capital
"Russey Muoy, Stueng Mean chey 3, Mean Chey, Phnom Penh Capital",,,Russey Muoy,Stueng Mean chey 3,Mean Chey,Phnom Penh Capital
"#, St.76, Pum Preaek, Stueng Traeng, Stueng Traeng, Stung Treng Province",#,St.76,Pum Preaek,Stueng Traeng,Stueng Traeng,Stung Treng Province
"#, St.77, Pum Preaek, Stueng Traeng, Stueng Traeng, Stung Treng Province",#,St.77,Pum Preaek,Stueng Traeng,Stueng Traeng,Stung Treng Province
"#, St.78, Pum Preaek, Stueng Traeng, Stueng Traeng, Stung Treng Province",#,St.78,Pum Preaek,Stueng Traeng,Stueng Traeng,Stung Treng Province
"St.77, Pum Preaek, Stueng Traeng, Stueng Traeng, Stung Treng Province",,St.77,Pum Preaek,Stueng Traeng,Stueng Traeng,Stung Treng Province
"St.61, Trapeang Pring, Stueng Traeng, Stueng Traeng, Stung Treng Province",,St.61,Trapeang Pring,Stueng Traeng,Stueng Traeng,Stung Treng Province
"Trapeang Pring, Stueng Traeng, Stueng Traeng, Stung Treng Province",,,Trapeang Pring,Stueng Traeng,Stueng Traeng,Stung Treng Province
"Stueng Traeng, Stueng Traeng, Stung Treng Province",,,,Stueng Traeng,Stueng Traeng,Stung Treng Province
"Svay Antor Ti Muoy, Svay Antor, Svay Antor, Prey Veng Province",,,Svay Antor Ti Muoy,Svay Antor,Svay Antor,Prey Veng Province
"Krang Pophleak, Svay At, Pursat, Pursat Province",,,Krang Pophleak,Svay At,Pursat,Pursat Province
"Sthani, Svay At, Pursat, Pursat Province",,,Sthani,Svay At,Pursat,Pursat Province
"Svay At, Svay At, Pursat, Pursat Province",,,Svay At,Svay At,Pursat,Pursat Province
"Khvav Lech, Svay Chek, Svay Chek, Banteay Meanchey Province",,,Khvav Lech,Svay Chek,Svay Chek,Banteay Meanchey Province
"Sla Kram, Svay Chek, Svay Chek, Banteay Meanchey Province",,,Sla Kram,Svay Chek,Svay Chek,Banteay Meanchey Province
