address,new_house_no,new_street_no,village_phum,commune_khum,district_srok,new_province
"Thmei, Svay Chek, Svay Chek, Banteay Meanchey Province",,,Thmei,Svay Chek,Svay Chek,Banteay Meanchey Province
"Smaet, Svay Chrum, Rolea B'ier, Kampong Chhnang Province",,,Smaet,Svay Chrum,Rolea B'ier,Kampong Chhnang Province
"Prey Nheam, Svay Chuk, Sameakki Mean Chey, Kampong Chhnang Province",,,Prey Nheam,Svay Chuk,Sameakki Mean Chey,Kampong Chhnang Province
"Trapeang Tunloab, Svay Chuk, Sameakki Mean Chey, Kampong Chhnang Province",,,Trapeang Tunloab,Svay Chuk,Sameakki Mean Chey,Kampong Chhnang Province
"#, St., Kantrork, Svay Dankum, Siem Reap, Siemreap Province",#,St.,Kantrork,Svay Dankum,Siem Reap,Siemreap Province
"#, St., Phnhea Chey, Svay Dankum, Siem Reap, Siemreap Province",#,St.,Phnhea Chey,Svay Dankum,Siem Reap,Siemreap Province
"#, St., Sala Kanseng, Svay Dankum, Siem Reap, Siemreap Province",#,St.,Sala Kanseng,Svay Dankum,Siem Reap,Siemreap Province
"#, St., Stueng Thmei, Svay Dankum, Siem Reap, Siemreap Province",#,St.,Stueng Thmei,Svay Dankum,Siem Reap,Siemreap Province
"#, St.BBU Road, Svay Dangkum, Svay Dankum, Siem Reap, Siemreap Province",#,St.BBU Road,Svay Dangkum,Svay Dankum,Siem Reap,Siemreap Province
"#, St.Phsar  Krom Road, Svay Dangkum, Svay Dankum, Siem Reap, Siemreap Province",#,St.Phsar  Krom Road,Svay Dangkum,Svay Dankum,Siem Reap,Siemreap Province
"#, St., Svay Dangkum, Svay Dankum, Siem Reap, Siemreap Province",#,St.,Svay Dangkum,Svay Dankum,Siem Reap,Siemreap Province
"#, St., Svay Preae, Svay Dankum, Siem Reap, Siemreap Province",#,St.,Svay Preae,Svay Dankum,Siem Reap,Siemreap Province
"#NA , St.Na, Ta Phul, Svay Dankum, Siem Reap, Siemreap Province",#NA ,St.Na,Ta Phul,Svay Dankum,Siem Reap,Siemreap Province
"#, St., Thmei, Svay Dankum, Siem Reap, Siemreap Province",#,St.,Thmei,Svay Dankum,Siem Reap,Siemreap Province
"#, St., Vihear Chen, Svay Dankum, Siem Reap, Siemreap Province",#,St.,Vihear Chen,Svay Dankum,Siem Reap,Siemreap Province
"#, St., Svay Dankum, Siem Reap, Siemreap Province",#,St.,,Svay Dankum,Siem Reap,Siemreap Province
"Kruos, Svay Dankum, Siem Reap, Siemreap Province",,,Kruos,Svay Dankum,Siem Reap,Siemreap Province
"Phnhea Chey, Svay Dankum, Siem Reap, Siemreap Province",,,Phnhea Chey,Svay Dankum,Siem Reap,Siemreap Province
"Svay Dangkum, Svay Dankum, Siem Reap, Siemreap Province",,,Svay Dangkum,Svay Dankum,Siem Reap,Siemreap Province
"Svay Dankum, Siem Reap, Siemreap Province",,,,Svay Dankum,Siem Reap,Siemreap Province
"Trapeang Sang Chiek, Svay Kravan, Chbar Mon, Kampong Speu Province",,,Trapeang Sang Chiek,Svay Kravan,Chbar Mon,Kampong Speu Province
"St.N/A, Chheh Chan, Svay Leu, Svay Leu, Siemreap Province",,St.N/A,Chheh Chan,Svay Leu,Svay Leu,Siemreap Province
"St.64, Trapeang Khnar, Svay Leu, Svay Leu, Siemreap Province",,St.64,Trapeang Khnar,Svay Leu,Svay Leu,Siemreap Province
"St.N/A, Svay Leu, Svay Leu, Siemreap Province",,St.N/A,,Svay Leu,Svay Leu,Siemreap Province
"Svay Leu, Svay Leu, Siemreap Province",,,,Svay Leu,Svay Leu,Siemreap Province
"Lu, Svay Pak, Russey Keo, Phnom Penh Capital",,,Lu,Svay Pak,Russey Keo,Phnom Penh Capital
"#, St., Svay Phluoh, Peam Chor, Prey Veng Province",#,St.,,Svay Phluoh,Peam Chor,Prey Veng Province
"Bat Sloek, Svay Rieng, Bavet, Svay Rieng Province",,,Bat Sloek,Svay Rieng,Bavet,Svay Rieng Province
"Chong Preaek, Svay Rieng, Svay Rieng, Svay Rieng Province",,,Chong Preaek,Svay Rieng,Svay Rieng,Svay Rieng Province
"St.NR 1, Svay Rieng, Svay Rieng, Svay Rieng Province",,St.NR 1,,Svay Rieng,Svay Rieng,Svay Rieng Province
"#N/A, St.  N/A, Lekh Muoy, Svay Rolum, Ta Khmau, Kandal Province",#N/A,St.  N/A,Lekh Muoy,Svay Rolum,Ta Khmau,Kandal Province
"#N.A, St.BT, Lekh Muoy, Svay Rolum, Ta Khmau, Kandal Province",#N.A,St.BT,Lekh Muoy,Svay Rolum,Ta Khmau,Kandal Province
"Svay Rolum, Ta Khmau, Kandal Province",,,,Svay Rolum,Ta Khmau,Kandal Province
"#A44, Lekh Muoy, Svay Rolum, Ta Khmau, Kandal Province",#A44,,Lekh Muoy,Svay Rolum,Ta Khmau,Kandal Province
"Lekh Muoy, Svay Rolum, Ta Khmau, Kandal Province",,,Lekh Muoy,Svay Rolum,Ta Khmau,Kandal Province
"Phsar Slab Leaeng, Svay Rumpear, Basedth, Kampong Speu Province",,,Phsar Slab Leaeng,Svay Rumpear,Basedth,Kampong Speu Province
"Slab Leaeng, Svay Rumpear, Basedth, Kampong Speu Province",,,Slab Leaeng,Svay Rumpear,Basedth,Kampong Speu Province
"Slaeng, Svay Rumpear, Basedth, Kampong Speu Province",,,Slaeng,Svay Rumpear,Basedth,Kampong Speu Province
"#, St., Svay Teab, Chamkar Leu, Kampong Cham Province",#,St.,,Svay Teab,Chamkar Leu,Kampong Cham Province
"#NA, St.210, Prek Samraong, Ta Khmao, Ta Khmau, Kandal Province",#NA,St.210,Prek Samraong,Ta Khmao,Ta Khmau,Kandal Province
"Ta Khmao 3, Ta Khmao, Ta Khmau, Kandal Province",,,Ta Khmao 3,Ta Khmao,Ta Khmau,Kandal Province
"Thmei 2, Ta Khmao, Ta Khmau, Kandal Province",,,Thmei 2,Ta Khmao,Ta Khmau,Kandal Province
"Ta Khmao, Ta Khmau, Kandal Province",,,,Ta Khmao,Ta Khmau,Kandal Province
"Ta Ney, Ta Ney, Prey Nob, Preah Sihanouk Province",,,Ta Ney,Ta Ney,Prey Nob,Preah Sihanouk Province
"Ta Ney, Prey Nob, Preah Sihanouk Province",,,,Ta Ney,Prey Nob,Preah Sihanouk Province
"St.None, Ou Chamlang, Ta Saen, Kamrieng, Battambang Province",,St.None,Ou Chamlang,Ta Saen,Kamrieng,Battambang Province
"Ou Anlok, Ta Saen, Kamrieng, Battambang Province",,,Ou Anlok,Ta Saen,Kamrieng,Battambang Province
"Ta Sda, Ta Sda, Sampov Lun, Battambang Province",,,Ta Sda,Ta Sda,Sampov Lun,Battambang Province
"Trapeang Thmar, Ta Siem, Svay Leu, Siemreap Province",,,Trapeang Thmar,Ta Siem,Svay Leu,Siemreap Province
"Trapeang Tuem, Ta Siem, Svay Leu, Siemreap Province",,,Trapeang Tuem,Ta Siem,Svay Leu,Siemreap Province
"#, St., Veal Sbov, Tang Krasang, Tuek Phos, Kampong Chhnang Province",#,St.,Veal Sbov,Tang Krasang,Tuek Phos,Kampong Chhnang Province
"Tang Krasang, Tang Krasang, Santuk, Kampong Thom Province",,,Tang Krasang,Tang Krasang,Santuk,Kampong Thom Province
"Tang Krouch, Samraong Tong, Kampong Speu Province",,,,Tang Krouch,Samraong Tong,Kampong Speu Province
"Tbaeng Kaeut, Tbaeng, Banteay Srei, Siemreap Province",,,Tbaeng Kaeut,Tbaeng,Banteay Srei,Siemreap Province
"Teuk thla, Saensokh, Phnom Penh Capital",,,,Teuk thla,Saensokh,Phnom Penh Capital
"Veal Khsach, Thala Barivat, Thala Barivat, Stung Treng Province",,,Veal Khsach,Thala Barivat,Thala Barivat,Stung Treng Province
"Thlok Vien, Thlok Vien, Sameakki Mean Chey, Kampong Chhnang Province",,,Thlok Vien,Thlok Vien,Sameakki Mean Chey,Kampong Chhnang Province
"Thma Krae Leu, Thma Kreae, Chetr Borei, Kratie Province",,,Thma Krae Leu,Thma Kreae,Chetr Borei,Kratie Province
"Thmei, Tien, Dangkao, Phnom Penh Capital",,,Thmei,Tien,Dangkao,Phnom Penh Capital
"St.Abdul Carime St. 21, Phum 7, Tonle Basak, Chamkar Mon, Phnom Penh Capital",,St.Abdul Carime St. 21,Phum 7,Tonle Basak,Chamkar Mon,Phnom Penh Capital
"#54, Phum 9, Tonle Basak, Chamkar Mon, Phnom Penh Capital",#54,,Phum 9,Tonle Basak,Chamkar Mon,Phnom Penh Capital
"#, St., Tonle Basak, Chamkar Mon, Phnom Penh Capital",#,St.,,Tonle Basak,Chamkar Mon,Phnom Penh Capital
"#25, Phum 9, Tonle Basak, Chamkar Mon, Phnom Penh Capital",#25,,Phum 9,Tonle Basak,Chamkar Mon,Phnom Penh Capital
"#34, Tonle Basak, Chamkar Mon, Phnom Penh Capital",#34,,,Tonle Basak,Chamkar Mon,Phnom Penh Capital
"Tonle Basak, Chamkar Mon, Phnom Penh Capital",,,,Tonle Basak,Chamkar Mon,Phnom Penh Capital
"#49, St.7A, Yeay Sar, Tonle Bet, Tboung Khmum, Tboung Khmum Province",#49,St.7A,Yeay Sar,Tonle Bet,Tboung Khmum,Tboung Khmum Province
"Changkum Kandal, Tonlung, Memot, Tboung Khmum Province",,,Changkum Kandal,Tonlung,Memot,Tboung Khmum Province
"Tonlung, Memot, Tboung Khmum Province",,,,Tonlung,Memot,Tboung Khmum Province
"Traeng, Rotonak Mondol, Battambang Province",,,,Traeng,Rotonak Mondol,Battambang Province
"St.Road 8 metter, Srol, Traeng Trayueng, Phnum Sruoch, Kampong Speu Province",,St.Road 8 metter,Srol,Traeng Trayueng,Phnum Sruoch,Kampong Speu Province
"St.Road 10 metter, Srol, Traeng Trayueng, Phnum Sruoch, Kampong Speu Province",,St.Road 10 metter,Srol,Traeng Trayueng,Phnum Sruoch,Kampong Speu Province
"St.Road 8 metter, Ti Bei, Traeng Trayueng, Phnum Sruoch, Kampong Speu Province",,St.Road 8 metter,Ti Bei,Traeng Trayueng,Phnum Sruoch,Kampong Speu Province
"Veal Thom, Traeng Trayueng, Phnum Sruoch, Kampong Speu Province",,,Veal Thom,Traeng Trayueng,Phnum Sruoch,Kampong Speu Province
"Trapeang Ruessei, Tram Kak, Tram Kak, Takeo Province",,,Trapeang Ruessei,Tram Kak,Tram Kak,Takeo Province
"Tram Kak, Tram Kak, Takeo Province",,,,Tram Kak,Tram Kak,Takeo Province
"Tramung, Tramung, Memot, Tboung Khmum Province",,,Tramung,Tramung,Memot,Tboung Khmum Province
"Sanlang, Trapeang Chan, Baribour, Kampong Chhnang Province",,,Sanlang,Trapeang Chan,Baribour,Kampong Chhnang Province
"St.5, Thmei, Trapeang chorng, Bakan, Pursat Province",,St.5,Thmei,Trapeang chorng,Bakan,Pursat Province
"Kraol Krabei, Trapeang chorng, Bakan, Pursat Province",,,Kraol Krabei,Trapeang chorng,Bakan,Pursat Province
"#35, Ou Krang Ambel, Trapeang Kong, Samraong Tong, Kampong Speu Province",#35,,Ou Krang Ambel,Trapeang Kong,Samraong Tong,Kampong Speu Province
"Ou Krang Ambel, Trapeang Kong, Samraong Tong, Kampong Speu Province",,,Ou Krang Ambel,Trapeang Kong,Samraong Tong,Kampong Speu Province
"Prey Kuy, Trapeang Kong, Samraong Tong, Kampong Speu Province",,,Prey Kuy,Trapeang Kong,Samraong Tong,Kampong Speu Province
"Trapeang Ampil, Trapeang Kong, Samraong Tong, Kampong Speu Province",,,Trapeang Ampil,Trapeang Kong,Samraong Tong,Kampong Speu Province
"Trapeang Sang Chiek, Trapeang Kong, Samraong Tong, Kampong Speu Province",,,Trapeang Sang Chiek,Trapeang Kong,Samraong Tong,Kampong Speu Province
"Chongruk, Trapeang Krasang, Pur SenChey, Phnom Penh Capital",,,Chongruk,Trapeang Krasang,Pur SenChey,Phnom Penh Capital
"Trapaang Andoung, Trapeang Krasang, Pur SenChey, Phnom Penh Capital",,,Trapaang Andoung,Trapeang Krasang,Pur SenChey,Phnom Penh Capital
"Trapeang Krasang, Trapeang Krasang, Pur SenChey, Phnom Penh Capital",,,Trapeang Krasang,Trapeang Krasang,Pur SenChey,Phnom Penh Capital
"Trapeang Phlong, Ponhea Kraek, Tboung Khmum Province",,,,Trapeang Phlong,Ponhea Kraek,Tboung Khmum Province
"Ou Krouch, Trapeang Prasat, Trapeang Prasat, Oddar Meanchey Province",,,Ou Krouch,Trapeang Prasat,Trapeang Prasat,Oddar Meanchey Province
"Trapeang Prasat, Trapeang Prasat, Trapeang Prasat, Oddar Meanchey Province",,,Trapeang Prasat,Trapeang Prasat,Trapeang Prasat,Oddar Meanchey Province
"Trapeang Prasat, Trapeang Prasat, Oddar Meanchey Province",,,,Trapeang Prasat,Trapeang Prasat,Oddar Meanchey Province
"Trapeang Pring, Tuek Chhou, Kampot Province",,,,Trapeang Pring,Tuek Chhou,Kampot Province
"Thnal Baek, Trapeang Ruessei, Kampong Svay, Kampong Thom Province",,,Thnal Baek,Trapeang Ruessei,Kampong Svay,Kampong Thom Province
"Voa Yeav, Trapeang Ruessei, Kampong Svay, Kampong Thom Province",,,Voa Yeav,Trapeang Ruessei,Kampong Svay,Kampong Thom Province
"Trapeang Ruessei, Kampong Svay, Kampong Thom Province",,,,Trapeang Ruessei,Kampong Svay,Kampong Thom Province
"Trapeang Sab, Bati, Takeo Province",,,,Trapeang Sab,Bati,Takeo Province
"Roka Kambot, Trapeang Thum, Prasat Bakong, Siemreap Province",,,Roka Kambot,Trapeang Thum,Prasat Bakong,Siemreap Province
"Svay Chey, Trapeang Thum, Prasat Bakong, Siemreap Province",,,Svay Chey,Trapeang Thum,Prasat Bakong,Siemreap Province
"Sam K'aok, Trea, Stoung, Kampong Thom Province",,,Sam K'aok,Trea,Stoung,Kampong Thom Province
"#NA, St.202, Thipakdei, Trei Nhoar, Puok, Siemreap Province",#NA,St.202,Thipakdei,Trei Nhoar,Puok,Siemreap Province
"#NA, St.202, Trei Nhoar, Puok, Siemreap Province",#NA,St.202,,Trei Nhoar,Puok,Siemreap Province
"Tuek Khleang, Lvea Aem, Kandal Province",,,,Tuek Khleang,Lvea Aem,Kandal Province
"#99, St.12, Phum 12, Tuek L'ak Ti Bei, Tuol Kouk, Phnom Penh Capital",#99,St.12,Phum 12,Tuek L'ak Ti Bei,Tuol Kouk,Phnom Penh Capital
"Tuek L'ak Ti Bei, Tuol Kouk, Phnom Penh Capital",,,,Tuek L'ak Ti Bei,Tuol Kouk,Phnom Penh Capital
"Tuek L'ak Ti Muoy, Tuol Kouk, Phnom Penh Capital",,,,Tuek L'ak Ti Muoy,Tuol Kouk,Phnom Penh Capital
"#N.A, St.N.A, Tuek Thla, Tuek Thla, Saensokh, Phnom Penh Capital",#N.A,St.N.A,Tuek Thla,Tuek Thla,Saensokh,Phnom Penh Capital
"#115, St.118, Tuek Thla, Saensokh, Phnom Penh Capital",#115,St.118,,Tuek Thla,Saensokh,Phnom Penh Capital
"Dei Lou, Tuek Thla, Serei Saophoan, Banteay Meanchey Province",,,Dei Lou,Tuek Thla,Serei Saophoan,Banteay Meanchey Province
"Keab, Tuek Thla, Serei Saophoan, Banteay Meanchey Province",,,Keab,Tuek Thla,Serei Saophoan,Banteay Meanchey Province
"Tuek Thla, Tuek Thla, Saensokh, Phnom Penh Capital",,,Tuek Thla,Tuek Thla,Saensokh,Phnom Penh Capital
"Tuek Thla, Saensokh, Phnom Penh Capital",,,,Tuek Thla,Saensokh,Phnom Penh Capital
"#NA, St.NA, Prei Chas, Tuek Vil, Siem Reap, Siemreap Province",#NA,St.NA,Prei Chas,Tuek Vil,Siem Reap,Siemreap Province
"Leaeng, Tum Ring, Sandan, Kampong Thom Province",,,Leaeng,Tum Ring,Sandan,Kampong Thom Province
"Roneam, Tum Ring, Sandan, Kampong Thom Province",,,Roneam,Tum Ring,Sandan,Kampong Thom Province
"St.NR51, Tumnob Thum, Ponhea Lueu, Kandal Province",,St.NR51,,Tumnob Thum,Ponhea Lueu,Kandal Province
"Tumnob Thum, Ponhea Lueu, Kandal Province",,,,Tumnob Thum,Ponhea Lueu,Kandal Province
"Khlong, Tuol Prech, Angk Snuol, Kandal Province",,,Khlong,Tuol Prech,Angk Snuol,Kandal Province
"Khnar, Tuol Prech, Angk Snuol, Kandal Province",,,Khnar,Tuol Prech,Angk Snuol,Kandal Province
"#, St., Tuol Sangkae 1, Russey Keo, Phnom Penh Capital",#,St.,,Tuol Sangkae 1,Russey Keo,Phnom Penh Capital
"Tuol Sangkae 1, Russey Keo, Phnom Penh Capital",,,,Tuol Sangkae 1,Russey Keo,Phnom Penh Capital
"#NA, St.NA, Tuol Porpae, Tuol Sangkae 2, Russey Keo, Phnom Penh Capital",#NA,St.NA,Tuol Porpae,Tuol Sangkae 2,Russey Keo,Phnom Penh Capital
"#, St., Tuol Sangkae 2, Russey Keo, Phnom Penh Capital",#,St.,,Tuol Sangkae 2,Russey Keo,Phnom Penh Capital
"Tuol Sangkae 2, Russey Keo, Phnom Penh Capital",,,,Tuol Sangkae 2,Russey Keo,Phnom Penh Capital
"Phum 4, Tuol Svay Prey Ti Muoy, Boeng Keng Kang, Phnom Penh Capital",,,Phum 4,Tuol Svay Prey Ti Muoy,Boeng Keng Kang,Phnom Penh Capital
"St.406, O Ta Kam II, Tuol Ta Ek, Battambang, Battambang Province",,St.406,O Ta Kam II,Tuol Ta Ek,Battambang,Battambang Province
"Tuol Tumpung Ti Muoy, Chamkar Mon, Phnom Penh Capital",,,,Tuol Tumpung Ti Muoy,Chamkar Mon,Phnom Penh Capital
"#478, St.340, Phum 1, Tuol Tumpung Ti Pir, Chamkar Mon, Phnom Penh Capital",#478,St.340,Phum 1,Tuol Tumpung Ti Pir,Chamkar Mon,Phnom Penh Capital
"#, St., Pou Kambaor, Veal, Kandieng, Pursat Province",#,St.,Pou Kambaor,Veal,Kandieng,Pursat Province
"St., Veal Pong, Odongk, Kampong Speu Province",,St.,,Veal Pong,Odongk,Kampong Speu Province
"#13FE0, St.Betong, Veal Sbov, Veal Sbov, Chbar Ampov, Phnom Penh Capital",#13FE0,St.Betong,Veal Sbov,Veal Sbov,Chbar Ampov,Phnom Penh Capital
"#B2, St.Betong, Veal Sbov, Veal Sbov, Chbar Ampov, Phnom Penh Capital",#B2,St.Betong,Veal Sbov,Veal Sbov,Chbar Ampov,Phnom Penh Capital
"#B3, St.Betong, Veal Sbov, Chbar Ampov, Phnom Penh Capital",#B3,St.Betong,,Veal Sbov,Chbar Ampov,Phnom Penh Capital
"#, St., Veal Sbov, Chbar Ampov, Phnom Penh Capital",#,St.,,Veal Sbov,Chbar Ampov,Phnom Penh Capital
"Kdei Ta Koy, Veal Sbov, Chbar Ampov, Phnom Penh Capital",,,Kdei Ta Koy,Veal Sbov,Chbar Ampov,Phnom Penh Capital
"Preaek Cheang Prum, Veal Sbov, Chbar Ampov, Phnom Penh Capital",,,Preaek Cheang Prum,Veal Sbov,Chbar Ampov,Phnom Penh Capital
"Veal Sbov, Veal Sbov, Chbar Ampov, Phnom Penh Capital",,,Veal Sbov,Veal Sbov,Chbar Ampov,Phnom Penh Capital
"Veal Sbov, Chbar Ampov, Phnom Penh Capital",,,,Veal Sbov,Chbar Ampov,Phnom Penh Capital
"Veal Vong, Prampir Meakkakra, Phnom Penh Capital",,,,Veal Vong,Prampir Meakkakra,Phnom Penh Capital
"Oudong, Veang Chas, Odongk, Kampong Speu Province",,,Oudong,Veang Chas,Odongk,Kampong Speu Province
"St., Ampil Dam Tuek, Vihear Luong, Ponhea Lueu, Kandal Province",,St.,Ampil Dam Tuek,Vihear Luong,Ponhea Lueu,Kandal Province
"Prasrae Kraom, Vihear Luong, Suong, Tboung Khmum Province",,,Prasrae Kraom,Vihear Luong,Suong,Tboung Khmum Province
"Thyung, Vihear Luong, Ponhea Lueu, Kandal Province",,,Thyung,Vihear Luong,Ponhea Lueu,Kandal Province
"Vihear Luong, Ponhea Lueu, Kandal Province",,,,Vihear Luong,Ponhea Lueu,Kandal Province
"Preaek Chas, Vihear Suork, Khsach Kandal, Kandal Province",,,Preaek Chas,Vihear Suork,Khsach Kandal,Kandal Province
"Vihear Suork Cheung, Vihear Suork, Khsach Kandal, Kandal Province",,,Vihear Suork Cheung,Vihear Suork,Khsach Kandal,Kandal Province
"Vihear Suork Tboung, Vihear Suork, Khsach Kandal, Kandal Province",,,Vihear Suork Tboung,Vihear Suork,Khsach Kandal,Kandal Province
"Voa Sar, Samraong Tong, Kampong Speu Province",,,,Voa Sar,Samraong Tong,Kampong Speu Province
"#20, St.20, Phum 10, Voat Phnum, Doun Penh, Phnom Penh Capital",#20,St.20,Phum 10,Voat Phnum,Doun Penh,Phnom Penh Capital
"Voat Phnum, Doun Penh, Phnom Penh Capital",,,,Voat Phnum,Doun Penh,Phnom Penh Capital
"St.05 Hiway, Chrap Krasaing, wat Kor, Battambang, Battambang Province",,St.05 Hiway,Chrap Krasaing,wat Kor,Battambang,Battambang Province
"St.1107, Chrap Krasaing, wat Kor, Battambang, Battambang Province",,St.1107,Chrap Krasaing,wat Kor,Battambang,Battambang Province
"St.1206 & 1210, Chrap Krasaing, wat Kor, Battambang, Battambang Province",,St.1206 & 1210,Chrap Krasaing,wat Kor,Battambang,Battambang Province
"St.916, Damnak Luong, wat Kor, Battambang, Battambang Province",,St.916,Damnak Luong,wat Kor,Battambang,Battambang Province
"St.916, Kampong Seima, wat Kor, Battambang, Battambang Province",,St.916,Kampong Seima,wat Kor,Battambang,Battambang Province
"wat Kor, Battambang, Battambang Province",,,,wat Kor,Battambang,Battambang Province
